""
0,[],UP_FBNK_AA_INTEREST_AC000|AA220837MK3L-DEPSPLHIBA|110271000000,UP_FBNK_AA_INTEREST_AC000|AA220837MK3L-DEPSPLHIBA|110271000000,0,15
1,"[('change', 'UP_FBNK_AA_ARRANGEMENT006:1:/row/c73', ('GB0010001', 'THISISMYCHANGE'))]",UP_FBNK_AA_ARRANGEMENT006|AA220837MK3L-DEPSPLHIBA-ACCRUAL|110271000000,UP_FBNK_AA_ARRANGEMENT006|AA220837MK3L-DEPSPLHIBA-ACCRUAL|110271000000,1,23
2,[],UP_FBNK_EB_CONTRACT_BA001|111589|110271000000,UP_FBNK_EB_CONTRACT_BA001|111589|110271000000,0,16
3,"[('change', 'UP_FBNK_AA_ARRANGEMENT006:1:/row/c73', ('GB0010001', 'THISISMYCHANGE'))]",UP_FBNK_AA_ARRANGEMENT006|AA220837MK3L-DEPOSITPFT-ACCRUAL|110271000000,UP_FBNK_AA_ARRANGEMENT006|AA220837MK3L-DEPOSITPFT-ACCRUAL|110271000000,1,23
4,"[('change', 'IN_FBNK_AC_HVT_TRIGGER:1:/row/c2', ('GBP$$CREDIT-20220419$$$$$$$$$$$$$$-510.28$$-665.1$$$$$$DEBIT$$AC.1.TR.GBP.14016............GB0010001$$CREDIT$$GB0010001$$Y$$$$ACCOUNT$$AC$$20220419$$$$$$$$$$$$$$$$$$$$$$$$$$$$205480675865306.010001/BNK$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$202204$$$$$$$$$$20220419$$1$$$$$$$$$$$$$$$$-510.28$$-510.28$$-510.28$$-510.28$$-510.28$$$$$$$$$$$$$$$$$$$$$$$$$$OBGR-DR%%AUTO-DR$$20220419%%20220419$$-665.1%%-510.28$$%%131$$20220419$$$$0$$0$$-510.28', 'GBP$$CREDIT-20220419$$$$$$$$$$$$$$-510.28$$-665.1$$$$$$DEBIT$$AC.1.TR.GBP.14016............THISISMYCHANGE$$CREDIT$$THISISMYCHANGE$$Y$$$$ACCOUNT$$AC$$20220419$$$$$$$$$$$$$$$$$$$$$$$$$$$$205480675865306.010001/BNK$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$202204$$$$$$$$$$20220419$$1$$$$$$$$$$$$$$$$-510.28$$-510.28$$-510.28$$-510.28$$-510.28$$$$$$$$$$$$$$$$$$$$$$$$$$OBGR-DR%%AUTO-DR$$20220419%%20220419$$-665.1%%-510.28$$%%131$$20220419$$$$0$$0$$-510.28'))]",IN_FBNK_AC_HVT_TRIGGER|GBPUSD1401600010001!6758!20220419!1095|110271000000,IN_FBNK_AC_HVT_TRIGGER|GBPUSD1401600010001!6758!20220419!1095|110271000000,1,15
5,[],IN_FBNK_ACCT_ENT_LWORK000|GBPUSD1401600010001!6758!20220419!1095|110271000000,IN_FBNK_ACCT_ENT_LWORK000|GBPUSD1401600010001!6758!20220419!1095|110271000000,0,2
6,"[('change', 'IN_FBNK_STMT_ENTRY:1:/row/c2', ('GB0010001', 'THISISMYCHANGE')), ('change', 'IN_FBNK_STMT_ENTRY:1:/row/c39', ('AC.1.TR.USD.14016............GB0010001', 'AC.1.TR.USD.14016............THISISMYCHANGE'))]",IN_FBNK_STMT_ENTRY|205481000000000|110271000000,IN_FBNK_STMT_ENTRY|205481000000000|110271000000,2,4
7,[],IN_FBNK_STMT_PRINTED|GBPUSD1401600010001!6758!20220419!1095-20220516|110271000000,IN_FBNK_STMT_PRINTED|GBPUSD1401600010001!6758!20220419!1095-20220516|110271000000,0,7
8,"[('change', 'IN_FBNK_AC_HVT_TRIGGER:1:/row/c2', ('USD$$DEBIT-20220419$$$$$$$$$$665.1$$$$$$$$$$$$CREDIT$$AC.1.TR.USD.14016............GB0010001$$DEBIT$$GB0010001$$Y$$$$ACCOUNT$$AC$$20220419$$$$$$$$$$$$$$$$$$$$$$$$$$$$205480675865306.010002/BNK$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$202204$$$$$$$$$$20220419$$1$$$$$$$$$$$$$$$$665.1$$665.1$$665.1$$665.1$$665.1$$$$$$$$$$$$$$$$$$$$$$$$$$OBGR-CR%%AUTO-CR$$20220419%%20220419$$665.1%%665.1$$%%130$$20220419$$$$0$$0$$665.1', 'USD$$DEBIT-20220419$$$$$$$$$$665.1$$$$$$$$$$$$CREDIT$$AC.1.TR.USD.14016............THISISMYCHANGE$$DEBIT$$THISISMYCHANGE$$Y$$$$ACCOUNT$$AC$$20220419$$$$$$$$$$$$$$$$$$$$$$$$$$$$205480675865306.010002/BNK$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$202204$$$$$$$$$$20220419$$1$$$$$$$$$$$$$$$$665.1$$665.1$$665.1$$665.1$$665.1$$$$$$$$$$$$$$$$$$$$$$$$$$OBGR-CR%%AUTO-CR$$20220419%%20220419$$665.1%%665.1$$%%130$$20220419$$$$0$$0$$665.1'))]",IN_FBNK_AC_HVT_TRIGGER|USDGBP1401600010001!6758!20220419!1095|110271000000,IN_FBNK_AC_HVT_TRIGGER|USDGBP1401600010001!6758!20220419!1095|110271000000,1,15
9,[],IN_FBNK_ACCT_ENT_LWORK000|USDGBP1401600010001!6758!20220419!1095|110271000000,IN_FBNK_ACCT_ENT_LWORK000|USDGBP1401600010001!6758!20220419!1095|110271000000,0,2
0,[],UP_F_LOCKING|vivekuchil|100280000000,UP_F_LOCKING|vivekuchil|10040293719,0,83
1,[],UP_F_LOCKING|vivekuchil|100220000000,UP_F_LOCKING|vivekuchil|100220000000,0,83
2,[],UP_F_LOCKING|vivekuchil|100260000000,UP_F_LOCKING|vivekuchil|100100000000,0,83
3,[],UP_F_LOCKING|vivekuchil|100110000000,UP_F_LOCKING|vivekuchil|100110000000,0,83
4,[],UP_F_LOCKING|vivekuchil|8033076447,UP_F_LOCKING|vivekuchil|8033076447,0,83
5,"[('change', 'UP_F_TSA_PARAMETER:1:/row/c18', ('GB0010001', 'THISISMYCHANGE'))]",UP_F_TSA_PARAMETER|SYSTEM|10040293707,UP_F_TSA_PARAMETER|SYSTEM|10040293707,1,1
6,[],UP_F_LOCKING|vivekuchil|600074309,UP_F_LOCKING|vivekuchil|5012074963,0,83
7,[],UP_F_LOCKING|vivekuchil|7031075472,UP_F_LOCKING|vivekuchil|8027076465,0,83
8,[],UP_F_LOCKING|vivekuchil|7014075458,UP_F_LOCKING|vivekuchil|10030293714,0,83
9,[],UP_F_LOCKING|vivekuchil|10030293711,UP_F_LOCKING|vivekuchil|100120000000,0,83
10,[],UP_F_LOCKING|vivekuchil|100130000000,UP_F_LOCKING|vivekuchil|100130000000,0,83
11,[],UP_F_LOCKING|vivekuchil|10020293769,UP_F_LOCKING|vivekuchil|9010118039,0,83
12,[],UP_F_LOCKING|vivekuchil|1022074230,UP_F_LOCKING|vivekuchil|6032074312,0,83
13,[],UP_F_LOCKING|vivekuchil|5011075010,UP_F_LOCKING|vivekuchil|5012074963,0,83
14,[],IN_FBNK_CONSOL_UPDATE_000|AC.1.TR.USD.3103.1001.GB.5Y.3...1000.....GB0010001***20220419*60214|800076485,IN_FBNK_CONSOL_UPDATE_000|AC.1.TR.USD.3103.1001.GB.5Y.3...1000.....THISISMYCHANGE***20220419*60214|800076485,0,6
